Participant ID,Session,Attempt,Error Angle,Hit
AE,1,1,-111.25,False
AE,1,2,-5.56,False
AE,1,3,1.63,True
AE,1,4,-7.69,False
AE,1,5,-1.9,True
AE,1,6,8.6,False
AE,1,7,-4.07,False
AE,1,8,1.41,False
AE,1,9,-2.41,False
AE,1,10,-0.2,True
AE,1,11,0.29,False
AE,1,12,-3.27,False
AE,1,13,-6.33,False
AE,1,14,-16.77,False
AE,1,15,-17.12,False
AE,1,16,5.92,False
AE,1,17,7.66,False
AE,1,18,3.19,False
AE,1,19,1.59,True
AE,1,20,-1.52,False
AE,1,21,23.63,False
AE,1,22,20.56,False
AE,1,23,16.62,False
AE,1,24,14.28,False
AE,1,25,5.47,False
AE,1,26,24.86,False
AE,1,27,27.52,False
AE,1,28,21.65,False
AE,1,29,30.07,False
AE,1,30,24.99,False
AE,1,31,11.49,False
AE,1,32,21.54,False
AE,1,33,15.97,False
AE,1,34,16.8,False
AE,1,35,18.62,False
AE,1,36,16.31,False
AE,1,37,25.07,False
AE,1,38,18.4,False
AE,1,39,17.4,False
AE,1,40,10.69,False
AE,1,41,16.89,False
AE,1,42,24.85,False
