Participant ID,Session,Attempt,Error Angle,Hit
Al,1,1,174.36,False
Al,1,2,-0.83,True
Al,1,3,-5.7,False
Al,1,4,-12.96,False
Al,1,5,-8.94,False
Al,1,6,-1.41,True
Al,1,7,-2.61,False
Al,1,8,-7.55,False
Al,1,9,0.91,True
Al,1,10,-1.1,True
Al,1,11,-3.01,True
Al,1,12,-7.62,False
Al,1,13,-11.51,False
Al,1,14,-2.59,True
Al,1,15,-0.7,True
Al,1,16,-3.12,True
Al,1,17,-3.65,False
Al,1,18,-2.39,True
Al,1,19,-11.09,False
Al,1,20,-6.76,False
Al,1,21,27.56,False
Al,1,22,19.58,False
Al,1,23,11.83,False
Al,1,24,18.27,False
Al,1,25,2.15,False
Al,1,26,2.48,True
Al,1,27,6.2,False
Al,1,28,-1.46,True
Al,1,29,15.58,False
Al,1,30,5.3,False
Al,1,31,10.24,False
Al,1,32,3.23,False
Al,1,33,5.83,False
Al,1,34,-3.64,True
Al,1,35,1.57,True
Al,1,36,-0.47,True
Al,1,37,1.97,False
Al,1,38,8.05,False
Al,1,39,-1.68,True
Al,1,40,-0.01,True
Al,1,41,1.5,True
Al,1,42,-1.39,True
Al,1,43,5.2,False
Al,1,44,-6.3,False
Al,1,45,-4.06,False
Al,1,46,5.48,False
Al,1,47,-1.24,True
Al,1,48,1.01,True
Al,1,49,4.76,False
Al,1,50,4.43,False
Al,1,51,9.85,False
Al,1,52,9.31,False
Al,1,53,10.63,False
Al,1,54,7.41,False
Al,1,55,3.05,True
Al,1,56,0.24,True
Al,1,57,0.91,True
Al,1,58,1.6,True
Al,1,59,-2.85,False
Al,1,60,1.02,True
Al,1,61,-2.89,True
Al,1,62,5.3,False
Al,1,63,5.07,False
Al,1,64,-0.89,True
Al,1,65,7.69,False
Al,1,66,6.2,False
Al,1,67,5.18,False
Al,1,68,4.17,False
Al,1,69,0.73,True
Al,1,70,0.47,True
Al,1,71,-0.9,True
Al,1,72,-2.27,True
Al,1,73,7.55,False
Al,1,74,1.97,False
Al,1,75,10.71,False
Al,1,76,11.88,False
Al,1,77,3.1,True
Al,1,78,6.87,False
Al,1,79,1.81,True
Al,1,80,14.19,False
Al,1,81,-24.44,False
Al,1,82,-16.97,False
Al,1,83,-4.61,False
Al,1,84,-13.76,False
Al,1,85,-10.46,False
Al,1,86,-7.4,False
Al,1,87,-13.81,False
Al,1,88,-15.46,False
Al,1,89,-17.31,False
Al,1,90,-8.77,False
Al,1,91,-9.7,False
Al,1,92,-11.76,False
Al,1,93,-8.92,False
Al,1,94,-11.98,False
Al,1,95,-11.41,False
Al,1,96,-19.31,False
Al,1,97,2.53,True
Al,1,98,-12.6,False
Al,1,99,-3.29,True
Al,1,100,-12.35,False
Al,1,101,-14.97,False
Al,1,102,-3.56,False
Al,1,103,-4.98,False
Al,1,104,-7.08,False
Al,1,105,-13.13,False
Al,1,106,-6.67,False
Al,1,107,-6.8,False
Al,1,108,-8.89,False
Al,1,109,-8.6,False
Al,1,110,-9.49,False
Al,1,111,-8.6,False
Al,1,112,-4.43,False
Al,1,113,-7.37,False
Al,1,114,-8.59,False
Al,1,115,-3.34,True
Al,1,116,-9.93,False
Al,1,117,-4.96,False
Al,1,118,-8.52,False
Al,1,119,-3.79,False
Al,1,120,-8.13,False
Al,1,121,14.65,False
Al,1,122,19.34,False
Al,1,123,14.32,False
Al,1,124,12.05,False
Al,1,125,4.06,False
Al,1,126,20.43,False
Al,1,127,18.02,False
Al,1,128,19.3,False
Al,1,129,11.91,False
Al,1,130,14.94,False
Al,1,131,10.97,False
Al,1,132,12.86,False
Al,1,133,13.38,False
Al,1,134,6.56,False
Al,1,135,1.34,True
Al,1,136,2.55,False
Al,1,137,3.0,True
Al,1,138,16.97,False
Al,1,139,-2.13,False
Al,1,140,2.3,True
Al,1,141,3.56,True
Al,1,142,4.79,False
Al,1,143,6.38,False
Al,1,144,4.96,False
Al,1,145,6.35,False
Al,1,146,10.46,False
Al,1,147,-2.05,True
Al,1,148,0.91,False
Al,1,149,-1.68,True
Al,1,150,0.47,True
Al,1,151,2.15,False
Al,1,152,9.75,False
Al,1,153,5.3,False
Al,1,154,-2.67,False
Al,1,155,-13.76,False
Al,1,156,0.4,True
Al,1,157,2.56,True
Al,1,158,0.85,True
Al,1,159,-4.44,False
Al,1,160,-4.26,False
Al,1,161,-0.83,True
Al,1,162,10.01,False
Al,1,163,5.02,False
Al,1,164,-2.49,False
Al,1,165,3.24,True
Al,1,166,-1.24,True
Al,1,167,3.97,False
Al,1,168,5.3,False
Al,1,169,1.79,False
Al,1,170,4.43,False
Al,1,171,2.32,False
Al,1,172,11.91,False
Al,1,173,9.58,False
Al,1,174,6.8,False
Al,1,175,-7.69,False
Al,1,176,16.8,False
Al,1,177,7.04,False
Al,1,178,0.67,True
Al,1,179,6.94,False
Al,1,180,14.5,False
Al,1,181,-26.31,False
Al,1,182,-20.43,False
Al,1,183,-9.96,False
Al,1,184,-8.43,False
Al,1,185,-7.59,False
Al,1,186,-7.53,False
Al,1,187,-7.6,False
Al,1,188,-8.27,False
Al,1,189,-2.45,False
Al,1,190,-8.04,False
Al,1,191,-4.51,False
Al,1,192,-9.51,False
Al,1,193,-1.42,True
Al,1,194,-6.5,False
Al,1,195,-15.15,False
Al,1,196,-3.11,True
Al,1,197,-10.7,False
Al,1,198,-1.15,True
Al,1,199,-4.31,False
Al,1,200,-3.46,False
Al,1,201,-7.33,False
