Participant ID,Session,Attempt,Error Angle,Hit
Al,1,1,-60.64,False
Al,1,2,-14.82,False
Al,1,3,-11.38,False
Al,1,4,-9.06,False
Al,1,5,-5.14,False
Al,1,6,-5.41,False
Al,1,7,-2.77,True
Al,1,8,-3.38,True
Al,1,9,-13.12,False
Al,1,10,2.65,True
Al,1,11,-8.13,False
Al,1,12,-0.95,True
Al,1,13,1.29,True
Al,1,14,-2.48,True
Al,1,15,-5.84,False
Al,1,16,-5.33,False
Al,1,17,-2.3,False
Al,1,18,-13.13,False
Al,1,19,-5.15,False
Al,1,20,-13.87,False
Al,1,21,21.95,False
Al,1,22,15.69,False
Al,1,23,12.86,False
Al,1,24,4.96,False
Al,1,25,36.01,False
Al,1,26,9.6,False
Al,1,27,6.85,False
Al,1,28,5.79,False
Al,1,29,1.44,True
Al,1,30,-2.84,True
Al,1,31,-0.63,False
Al,1,32,-14.38,False
Al,1,33,-8.77,False
Al,1,34,-2.95,True
Al,1,35,2.68,True
Al,1,36,3.1,True
Al,1,37,3.09,True
Al,1,38,-2.7,True
Al,1,39,-0.24,True
Al,1,40,-5.85,False
Al,1,41,-11.34,False
Al,1,42,0.95,True
Al,1,43,-3.47,True
Al,1,44,5.66,False
Al,1,45,9.7,False
Al,1,46,-1.63,True
Al,1,47,-1.69,True
Al,1,48,4.76,False
Al,1,49,2.56,False
Al,1,50,-3.25,True
Al,1,51,3.28,False
Al,1,52,-6.24,False
Al,1,53,-0.93,True
Al,1,54,4.23,False
Al,1,55,-5.17,False
Al,1,56,-0.38,True
Al,1,57,-1.66,True
Al,1,58,1.42,True
Al,1,59,-6.33,False
Al,1,60,7.51,False
Al,1,61,11.28,False
Al,1,62,-3.64,True
Al,1,63,-8.28,False
Al,1,64,9.1,False
Al,1,65,-5.91,False
Al,1,66,-0.15,True
Al,1,67,-2.86,True
Al,1,68,-9.0,False
Al,1,69,-10.28,False
Al,1,70,-4.62,False
Al,1,71,-4.37,False
Al,1,72,3.67,False
Al,1,73,-3.53,True
Al,1,74,-10.07,False
Al,1,75,-9.95,False
Al,1,76,-4.62,False
Al,1,77,1.34,True
Al,1,78,5.11,False
Al,1,79,-4.31,False
Al,1,80,-6.04,False
Al,1,81,-14.64,False
Al,1,82,-22.12,False
Al,1,83,-18.9,False
Al,1,84,-9.64,False
Al,1,85,-11.88,False
Al,1,86,-7.45,False
Al,1,87,-16.58,False
Al,1,88,-12.46,False
Al,1,89,-13.53,False
Al,1,90,-10.87,False
Al,1,91,-8.18,False
Al,1,92,-0.77,True
Al,1,93,-9.19,False
Al,1,94,-9.49,False
Al,1,95,-8.08,False
Al,1,96,-13.34,False
Al,1,97,-6.34,False
Al,1,98,-5.34,False
Al,1,99,-7.01,False
Al,1,100,-2.98,True
Al,1,101,-19.08,False
Al,1,102,-7.59,False
Al,1,103,-14.43,False
Al,1,104,-10.88,False
Al,1,105,-9.1,False
Al,1,106,-10.53,False
Al,1,107,-5.89,False
Al,1,108,0.0,True
Al,1,109,-6.01,False
Al,1,110,-13.18,False
Al,1,111,-8.66,False
Al,1,112,-0.97,True
Al,1,113,1.49,True
Al,1,114,-4.85,False
Al,1,115,-7.56,False
Al,1,116,-15.32,False
Al,1,117,-11.38,False
Al,1,118,-5.86,False
Al,1,119,-9.28,False
Al,1,120,-3.06,False
Al,1,121,12.9,False
Al,1,122,13.62,False
Al,1,123,19.6,False
Al,1,124,6.48,False
Al,1,125,7.8,False
Al,1,126,0.15,True
Al,1,127,1.91,True
Al,1,128,-1.45,True
Al,1,129,-6.8,False
Al,1,130,-0.91,False
Al,1,131,19.43,False
Al,1,132,15.22,False
Al,1,133,6.8,False
Al,1,134,1.31,True
Al,1,135,8.91,False
Al,1,136,2.2,True
Al,1,137,10.37,False
Al,1,138,4.51,False
Al,1,139,0.59,True
Al,1,140,-0.24,False
Al,1,141,-0.43,True
Al,1,142,15.01,False
Al,1,143,4.84,False
Al,1,144,2.99,False
Al,1,145,-0.8,False
Al,1,146,17.91,False
Al,1,147,-0.73,True
Al,1,148,4.48,False
Al,1,149,5.56,False
Al,1,150,9.72,False
Al,1,151,6.73,False
Al,1,152,-5.62,False
Al,1,153,3.82,False
Al,1,154,0.5,True
Al,1,155,-5.47,False
Al,1,156,0.05,True
Al,1,157,-1.3,False
Al,1,158,3.51,False
Al,1,159,7.61,False
Al,1,160,0.72,True
Al,1,161,-0.77,True
Al,1,162,5.8,False
Al,1,163,9.59,False
Al,1,164,-2.22,True
Al,1,165,4.51,False
Al,1,166,-1.82,False
Al,1,167,2.3,True
Al,1,168,8.73,False
Al,1,169,4.65,False
Al,1,170,-0.9,False
Al,1,171,0.75,True
Al,1,172,6.06,False
Al,1,173,-0.71,True
Al,1,174,10.62,False
Al,1,175,5.53,False
Al,1,176,0.47,True
Al,1,177,1.44,True
Al,1,178,5.11,False
Al,1,179,7.39,False
Al,1,180,5.48,False
Al,1,181,-26.71,False
Al,1,182,-23.49,False
Al,1,183,-18.67,False
Al,1,184,-17.38,False
Al,1,185,-11.82,False
Al,1,186,-7.31,False
Al,1,187,-13.33,False
Al,1,188,-14.44,False
Al,1,189,-5.1,False
Al,1,190,-7.02,False
Al,1,191,-10.0,False
Al,1,192,-12.69,False
Al,1,193,-2.23,True
Al,1,194,-20.34,False
Al,1,195,-10.8,False
Al,1,196,-5.22,False
Al,1,197,-8.37,False
Al,1,198,-7.98,False
Al,1,199,-7.91,False
Al,1,200,-8.13,False
Al,1,201,-17.24,False
