Participant ID,Session,Attempt,Error Angle,Hit
EH,1,1,-121.27,False
EH,1,2,1.05,True
EH,1,3,-5.6,False
EH,1,4,-5.23,False
EH,1,5,-1.0,True
EH,1,6,-5.1,False
EH,1,7,-1.36,False
EH,1,8,-4.97,False
EH,1,9,-2.67,True
EH,1,10,-4.89,False
EH,1,11,-0.24,False
EH,1,12,4.96,False
EH,1,13,3.66,False
EH,1,14,-0.97,False
EH,1,15,-11.15,False
EH,1,16,0.62,False
EH,1,17,-0.79,True
EH,1,18,16.26,False
EH,1,19,0.11,True
EH,1,20,1.83,True
EH,1,21,39.85,False
EH,1,22,25.83,False
EH,1,23,20.71,False
EH,1,24,7.11,False
EH,1,25,16.54,False
EH,1,26,6.46,False
EH,1,27,13.7,False
EH,1,28,16.21,False
EH,1,29,16.9,False
EH,1,30,14.41,False
EH,1,31,30.46,False
EH,1,32,23.47,False
EH,1,33,23.05,False
EH,1,34,23.22,False
EH,1,35,22.3,False
EH,1,36,12.25,False
EH,1,37,8.6,False
EH,1,38,23.03,False
EH,1,39,21.6,False
EH,1,40,32.19,False
EH,1,41,19.28,False
EH,1,42,24.68,False
EH,1,43,20.3,False
EH,1,44,20.81,False
EH,1,45,19.6,False
EH,1,46,18.16,False
EH,1,47,21.67,False
EH,1,48,22.95,False
EH,1,49,18.69,False
EH,1,50,19.14,False
EH,1,51,16.75,False
EH,1,52,18.25,False
EH,1,53,17.75,False
EH,1,54,22.38,False
EH,1,55,26.38,False
EH,1,56,12.17,False
EH,1,57,12.17,False
EH,1,58,20.13,False
EH,1,59,13.4,False
EH,1,60,14.01,False
EH,1,61,16.29,False
EH,1,62,18.53,False
EH,1,63,18.08,False
EH,1,64,19.77,False
EH,1,65,13.82,False
EH,1,66,21.77,False
EH,1,67,13.23,False
EH,1,68,10.07,False
EH,1,69,15.41,False
EH,1,70,18.8,False
EH,1,71,23.94,False
EH,1,72,19.57,False
EH,1,73,23.28,False
EH,1,74,17.39,False
EH,1,75,16.41,False
EH,1,76,12.93,False
EH,1,77,7.96,False
EH,1,78,13.58,False
EH,1,79,20.5,False
EH,1,80,7.95,False
EH,1,81,-21.89,False
EH,1,82,-9.27,False
EH,1,83,-11.09,False
EH,1,84,-0.52,False
EH,1,85,-3.42,False
EH,1,86,1.12,True
EH,1,87,-2.33,False
EH,1,88,-5.15,False
EH,1,89,2.94,True
EH,1,90,-3.42,True
EH,1,91,-3.13,True
EH,1,92,1.69,False
EH,1,93,2.25,True
EH,1,94,2.15,False
EH,1,95,-5.28,False
EH,1,96,-8.75,False
EH,1,97,-5.07,False
EH,1,98,-4.37,False
EH,1,99,-2.48,True
EH,1,100,-3.21,True
EH,1,101,-2.16,True
EH,1,102,0.07,True
EH,1,103,0.09,True
EH,1,104,1.15,True
EH,1,105,-2.08,True
EH,1,106,-2.56,True
EH,1,107,0.33,False
EH,1,108,3.66,False
EH,1,109,-0.69,True
EH,1,110,-14.25,False
EH,1,111,-3.88,False
EH,1,112,1.55,False
EH,1,113,-0.73,True
EH,1,114,-2.72,False
EH,1,115,-4.91,False
EH,1,116,8.49,False
EH,1,117,-1.21,True
EH,1,118,-3.98,False
EH,1,119,-1.64,True
EH,1,120,-0.97,False
EH,1,121,29.7,False
EH,1,122,9.87,False
EH,1,123,9.16,False
EH,1,124,24.9,False
EH,1,125,14.35,False
EH,1,126,9.82,False
EH,1,127,18.19,False
EH,1,128,9.54,False
EH,1,129,4.88,False
EH,1,130,4.15,False
EH,1,131,8.92,False
EH,1,132,13.52,False
EH,1,133,4.9,False
EH,1,134,-12.8,False
EH,1,135,0.53,True
EH,1,136,0.58,True
EH,1,137,13.46,False
EH,1,138,24.49,False
EH,1,139,13.11,False
EH,1,140,2.61,False
EH,1,141,0.34,True
EH,1,142,1.65,False
EH,1,143,21.01,False
EH,1,144,16.87,False
EH,1,145,14.64,False
EH,1,146,3.65,False
EH,1,147,8.54,False
EH,1,148,14.53,False
EH,1,149,12.32,False
EH,1,150,-1.19,True
EH,1,151,13.03,False
EH,1,152,9.79,False
EH,1,153,9.78,False
EH,1,154,8.96,False
EH,1,155,12.05,False
EH,1,156,24.08,False
EH,1,157,18.37,False
EH,1,158,17.01,False
EH,1,159,13.69,False
EH,1,160,15.78,False
EH,1,161,16.46,False
EH,1,162,21.16,False
EH,1,163,15.38,False
EH,1,164,12.27,False
EH,1,165,19.88,False
EH,1,166,24.49,False
EH,1,167,21.07,False
EH,1,168,19.0,False
EH,1,169,17.61,False
EH,1,170,16.34,False
EH,1,171,17.35,False
EH,1,172,17.95,False
EH,1,173,20.13,False
EH,1,174,14.31,False
EH,1,175,23.72,False
EH,1,176,20.84,False
EH,1,177,18.75,False
EH,1,178,20.13,False
EH,1,179,14.88,False
EH,1,180,13.63,False
EH,1,181,-11.82,False
EH,1,182,-12.2,False
EH,1,183,-4.7,False
EH,1,184,-9.73,False
EH,1,185,-5.65,False
EH,1,186,-10.39,False
EH,1,187,-7.69,False
EH,1,188,-10.79,False
EH,1,189,-5.52,False
EH,1,190,-0.53,True
EH,1,191,-4.19,False
EH,1,192,0.88,True
EH,1,193,-1.68,True
EH,1,194,0.26,True
EH,1,195,0.97,False
EH,1,196,-3.81,True
EH,1,197,-8.51,False
EH,1,198,-0.16,False
EH,1,199,5.57,False
EH,1,200,-7.31,False
EH,1,201,-1.5,False
