Participant ID,Session,Attempt,Error Angle,Hit
YI,1,1,-103.43,False
YI,1,2,-2.66,True
YI,1,3,1.4,False
YI,1,4,-3.21,False
YI,1,5,1.3,False
YI,1,6,0.0,False
YI,1,7,-3.23,False
YI,1,8,-4.24,False
YI,1,9,-2.49,False
YI,1,10,-2.96,True
YI,1,11,0.33,False
YI,1,12,-1.21,False
YI,1,13,-2.24,True
YI,1,14,-1.53,True
YI,1,15,-6.72,False
YI,1,16,0.34,False
YI,1,17,-0.18,False
YI,1,18,-5.04,False
YI,1,19,-8.08,False
YI,1,20,-6.98,False
YI,1,21,34.81,False
YI,1,22,22.89,False
YI,1,23,51.87,False
YI,1,24,45.43,False
YI,1,25,22.43,False
YI,1,26,19.56,False
YI,1,27,30.1,False
YI,1,28,12.55,False
YI,1,29,36.26,False
YI,1,30,21.29,False
